"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","24,096.90","24,334.70","24,059.95","23,995.70","24,177.65","-","181.95","0.76","53,11,22,966","38,035.10","26,373.20","22,182.55","5.95","-0.65"
"RELIANCE","1,392.00","1,433.80","1,391.30","1,388.90","1,430.00","-","41.10","2.96","3,05,42,143","4,331.58","1,611.80","1,290.00","6.08","2.16"
"ETERNAL","263.30","265.40","253.00","253.07","253.47","-","0.40","0.16","15,21,37,971","3,918.77","368.45","212.60","8.71","9.68"
"HDFCBANK","785.50","790.00","777.35","782.55","778.30","-","-4.25","-0.54","2,57,99,963","2,022.46","1,020.50","726.65","2.92","-18.45"
"SUNPHARMA","1,756.00","1,789.80","1,750.00","1,747.30","1,773.00","-","25.70","1.47","98,09,449","1,727.05","1,851.20","1,548.00","-1.15","-1.80"
"ICICIBANK","1,294.70","1,296.80","1,276.20","1,292.00","1,279.50","-","-12.50","-0.97","1,17,16,030","1,508.39","1,500.00","1,187.60","3.70","-10.51"
"BHARTIARTL","1,848.00","1,900.40","1,845.40","1,843.80","1,885.80","-","42.00","2.28","77,13,013","1,455.06","2,174.50","1,746.90","2.27","3.40"
"M&M","3,100.00","3,192.00","3,092.00","3,088.10","3,149.00","-","60.90","1.97","39,17,359","1,239.50","3,839.90","2,882.30","3.54","8.23"
"SBIN","1,094.00","1,105.00","1,084.25","1,091.30","1,088.40","-","-2.90","-0.27","1,06,11,104","1,162.38","1,234.70","755.50","6.76","33.95"
"ADANIENT","2,427.60","2,443.80","2,388.00","2,412.40","2,415.00","-","2.60","0.11","46,56,967","1,129.01","2,616.50","1,753.00","32.47","6.73"
"MARUTI","13,090.00","13,548.00","13,090.00","12,892.00","13,265.00","-","373.00","2.89","7,54,798","1,011.94","17,370.00","11,289.00","7.07","12.03"
"ITC","305.10","317.50","305.10","304.45","316.00","-","11.55","3.79","3,11,99,038","979.40","444.20","287.00","7.23","-25.82"
"INFY","1,158.50","1,178.20","1,156.80","1,152.10","1,167.10","-","15.00","1.30","83,03,109","972.11","1,728.00","1,149.80","-8.08","-22.06"
"LT","4,060.00","4,126.00","4,051.30","4,037.70","4,083.00","-","45.30","1.12","21,75,030","891.72","4,440.00","3,254.80","14.56","22.90"
"COALINDIA","469.85","485.70","464.05","467.00","480.70","-","13.70","2.93","1,80,63,862","865.91","485.70","368.65","8.01","23.54"
"ONGC","303.90","307.50","299.75","301.30","302.00","-","0.70","0.23","2,72,67,649","828.88","307.50","228.45","7.11","22.92"
"AXISBANK","1,295.00","1,309.20","1,279.00","1,289.00","1,290.60","-","1.60","0.12","62,28,275","805.75","1,418.30","1,042.50","7.09","8.70"
"INDIGO","4,442.40","4,507.30","4,335.10","4,442.40","4,340.00","-","-102.40","-2.31","16,95,800","745.08","6,232.50","3,895.20","5.87","-17.55"
"TATASTEEL","216.10","217.00","211.36","215.05","215.99","-","0.94","0.44","3,28,00,573","705.87","218.24","138.00","11.78","52.64"
"TCS","2,451.00","2,487.90","2,447.60","2,444.70","2,465.00","-","20.30","0.83","28,35,961","701.55","3,630.50","2,346.20","3.15","-29.01"
"DRREDDY","1,367.00","1,375.90","1,321.50","1,354.60","1,327.70","-","-26.90","-1.99","45,45,837","611.26","1,379.70","1,129.40","3.59","12.90"
"HCLTECH","1,200.00","1,210.80","1,192.10","1,196.00","1,198.00","-","2.00","0.17","47,77,201","574.40","1,780.10","1,192.10","-12.20","-23.65"
"JIOFIN","252.11","257.00","250.03","250.81","250.70","-","-0.11","-0.04","2,24,55,886","569.71","338.60","223.30","7.80","-2.69"
"SHRIRAMFIN","965.00","975.30","954.90","953.25","956.70","-","3.45","0.36","58,29,309","561.93","1,108.00","566.50","5.85","55.64"
"BAJFINANCE","925.00","937.00","916.60","923.65","932.80","-","9.15","0.99","54,38,997","505.41","1,102.50","787.90","10.55","2.58"
"TECHM","1,414.00","1,464.00","1,405.20","1,408.10","1,454.70","-","46.60","3.31","33,34,783","485.08","1,854.00","1,304.10","4.53","-2.72"
"NTPC","409.50","410.00","399.65","406.85","400.10","-","-6.75","-1.66","1,19,20,835","482.36","414.40","315.55","6.51","12.09"
"ULTRACEMCO","11,870.00","12,060.00","11,817.00","11,817.00","11,830.00","-","13.00","0.11","3,61,932","432.14","13,110.00","10,325.00","7.07","-0.33"
"BEL","437.05","442.80","435.25","435.75","437.70","-","1.95","0.45","95,07,163","416.91","473.45","295.85","8.14","38.03"
"HINDUNILVR","2,305.00","2,349.70","2,291.00","2,289.50","2,317.10","-","27.60","1.21","17,78,765","412.92","2,750.00","2,022.50","11.70","-0.20"
"HDFCLIFE","592.00","602.95","589.60","590.15","595.50","-","5.35","0.91","68,69,287","411.70","820.75","555.10","-2.41","-16.72"
"NESTLEIND","1,445.00","1,470.00","1,436.10","1,440.00","1,461.20","-","21.20","1.47","27,53,356","401.55","1,470.00","1,084.70","22.46","22.40"
"HINDALCO","1,078.00","1,080.00","1,053.00","1,074.30","1,069.75","-","-4.55","-0.42","37,10,080","396.29","1,080.00","603.75","23.43","71.83"
"ADANIPORTS","1,645.00","1,672.00","1,644.90","1,637.60","1,655.00","-","17.40","1.06","23,45,365","389.43","1,672.00","1,184.10","23.71","36.06"
"TMPV","351.00","363.65","351.00","350.80","352.25","-","1.45","0.41","1,05,81,537","378.42","744.00","294.30","16.18","-47.08"
"EICHERMOT","7,106.00","7,294.00","7,099.00","7,071.50","7,185.00","-","113.50","1.61","5,22,596","377.82","8,230.00","5,219.50","5.48","28.79"
"POWERGRID","320.10","323.80","318.25","319.00","320.00","-","1.00","0.31","1,03,72,929","333.33","324.95","250.00","8.29","5.63"
"WIPRO","201.58","203.60","200.30","201.58","200.97","-","-0.61","-0.30","1,56,67,662","316.13","273.10","186.50","4.89","-16.75"
"TITAN","4,419.90","4,472.40","4,410.20","4,417.00","4,439.90","-","22.90","0.52","7,02,730","312.10","4,554.00","3,245.50","11.51","31.41"
"KOTAKBANK","378.00","386.05","377.55","377.95","382.00","-","4.05","1.07","79,13,344","303.14","453.20","345.50","4.33","-13.38"
"JSWSTEEL","1,283.00","1,287.80","1,257.00","1,281.60","1,278.00","-","-3.60","-0.28","23,64,369","302.03","1,306.80","935.00","13.07","23.41"
"GRASIM","2,798.00","2,838.60","2,777.00","2,783.00","2,800.00","-","17.00","0.61","9,76,666","274.89","2,979.00","2,502.50","6.54","1.98"
"TRENT","4,273.00","4,304.70","4,218.70","4,253.90","4,225.00","-","-28.90","-0.68","6,43,572","274.35","6,261.00","3,275.50","24.28","-21.64"
"SBILIFE","1,808.60","1,829.50","1,792.90","1,808.30","1,819.00","-","10.70","0.59","14,31,080","259.83","2,132.00","1,681.40","-1.01","5.14"
"BAJAJ-AUTO","9,510.00","9,709.50","9,496.00","9,495.50","9,520.50","-","25.00","0.26","2,61,656","251.43","10,187.00","7,612.00","6.96","17.85"
"APOLLOHOSP","7,745.00","7,799.00","7,681.00","7,753.00","7,718.50","-","-34.50","-0.44","3,21,242","248.43","8,099.50","6,677.50","2.25","10.38"
"MAXHEALTH","1,009.90","1,029.10","1,003.00","1,004.75","1,004.00","-","-0.75","-0.07","18,70,409","190.48","1,314.30","903.00","2.96","-9.34"
"TATACONSUM","1,147.70","1,171.20","1,147.70","1,147.70","1,171.00","-","23.30","2.03","13,46,355","156.79","1,220.90","1,007.20","11.68","0.18"
"ASIANPAINT","2,469.90","2,477.90","2,438.60","2,462.60","2,451.60","-","-11.00","-0.45","6,03,585","148.20","2,985.70","2,115.00","11.06","0.02"
"CIPLA","1,312.00","1,322.00","1,307.80","1,306.50","1,313.20","-","6.70","0.51","9,86,556","129.96","1,673.00","1,165.70","5.71","-14.81"
"BAJAJFINSV","1,778.00","1,793.90","1,760.80","1,779.00","1,760.80","-","-18.20","-1.02","6,99,788","124.28","2,195.00","1,597.00","3.90","-14.81"
